CountryID,Country_Name,Region,World_Rank,Region_Rank,2013_Score,Property_Rights,Freedom_from_Corruption,Fiscal_Freedom_,Govt_Spending,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Population_(Millions),GDP_(Billions_PPP),GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
128,Papua New Guinea,Asia-Pacific,130,26,53.6,20,22,67.4,72.3,58.3,73.4,72.4,85,35,30,6.7,16.9,8.9,7.3,2532,1.9,8.4,-309.2,25.2
129,Paraguay,South and Central America / Caribbean,80,15,61.1,30,22,95.9,85.4,59.1,25.6,79.8,82.7,70,60,6.5,35.3,3.8,5.3,5413,6.6,6.6,303,13.7
130,Peru,South and Central America / Caribbean,44,7,68.2,40,34,79.9,89.1,72.3,67.1,84.3,85,70,60,30,302,6.9,7,10062,7.9,3.4,8232.6,21.6
131,Philippines,Asia-Pacific,97,17,58.2,30,26,79.3,90.2,53.1,51,76.6,75.5,50,50,95.9,390.4,3.7,4.6,4073,7,4.8,1262,40.5
132,Poland,Europe,57,26,66,60,55,76,43,64,62.9,77.7,86.8,65,70,37.9,771.7,4.4,4.3,20334,10.1,4.3,15138.8,55.4
133,Portugal,Europe,67,31,63.1,70,61,61.6,28.3,82.8,31,79.4,86.8,70,60,10.7,249,-1.5,-0.1,23361,15.9,3.6,10344,106.8
134,Qatar,Middle East / North Africa,27,2,71.3,70,72,99.8,81.2,69.4,63.4,80.3,82.5,45,50,1.8,182,18.8,16.6,102943,0.4,2,-86.8,31.5
135,Romania,Europe,59,28,65.1,40,36,87.9,62.2,70.4,63.5,74.7,86.8,80,50,21.4,267.2,2.5,1.4,12476,5.1,5.8,2670.4,33
136,Russia,Europe,139,41,51.1,25,24,86.9,54.4,69.2,52.6,66.7,77.4,25,30,142.4,2383.4,4.3,2.8,16736,6.6,8.4,52878,9.6
137,Rwanda,Sub-Saharan Africa,63,3,64.1,30,50,80.4,75.9,65.6,80.3,75.5,78,65,40,10.2,13.7,8.8,7.4,1341,N/A,5.7,106,23.4
138,Saint Lucia,South and Central America / Caribbean,32,2,70.4,70,70,76.9,63.6,85.3,76.4,84.7,71.9,65,40,0.2,2.1,0.2,1.9,12607,N/A,2.8,75.8,71.9
139,Saint Vincent and The Grenadines,South and Central America / Caribbean,54,11,66.7,70,58,74.2,67.1,77.6,76.6,80.3,73.3,50,40,0.1,1.3,-0.4,-0.4,11491,N/A,3.2,135.1,71.4
140,Samoa,Asia-Pacific,106,19,57.1,60,39,80.6,34.3,72.4,80.4,78.5,66,30,30,0.2,1.1,2.1,0.6,5965,N/A,2.9,12,53.6
141,Sao Tome and Principe,Sub-Saharan Africa,153,36,48,20,30,86.9,45.3,53.5,38.6,66,60,50,30,0.2,0.4,4.9,4.9,2252,N/A,14.3,18,74.4
142,Saudi Arabia,Middle East / North Africa,82,8,60.6,40,44,99.6,52.2,68.2,69.2,65.7,77.3,40,50,28.2,682.8,6.8,3.5,24237,10.9,5,16400,7.5
143,Senegal,Sub-Saharan Africa,116,19,55.5,40,29,65.2,75.6,56.7,41.3,79.6,72.2,55,40,13.4,25.2,2.6,3.5,1871,48,3.4,286.1,40.6
144,Serbia,Europe,94,37,58.6,40,33,84.2,40.3,60.2,70.4,65.3,77.9,65,50,7.4,78.9,1.8,1.7,10642,23.4,11.2,2709.3,47.9
145,Seychelles,Sub-Saharan Africa,124,23,54.9,50,48,77.6,56.9,69.2,63.5,75.6,33.4,45,30,0.1,2.2,4.9,4.1,24726,2,2.6,143.9,83
146,Sierra Leone,Sub-Saharan Africa,151,37,48.3,10,25,80.7,75.9,51.5,26.3,68.5,70.2,55,20,6,5.1,5.3,5.1,849,N/A,18.5,48.7,60
147,Singapore,Asia-Pacific,2,2,88,90,92,91.1,91.3,97.1,91.4,82,90,75,80,5.3,314.9,4.9,5.7,59711,2,5.2,64003.2,100.8
148,Slovakia,Europe,42,20,68.7,50,40,84.7,58,71,72.2,79.1,86.8,75,70,5.4,126.9,3.3,3.6,23304,14.4,4.1,2142.9,44.6
149,Slovenia,Europe,76,34,61.7,60,59,65.7,22.3,80.7,40.4,81.6,86.8,70,50,2,57.9,-0.2,0.6,28642,8.4,1.8,999.2,47.3
150,Solomon Islands,Asia-Pacific,165,37,45,30,27,66.2,6.1,66.6,66.4,75.4,72.6,10,30,0.5,1.7,9.3,4.9,3192,N/A,6.7,146.4,22.6
