,2013_Score,5_Year_GDP_Growth_Rate_(%),Business_Freedom,CountryID,Country_Name,FDI_Inflow_(Millions),Financial_Freedom,Fiscal_Freedom_,Freedom_from_Corruption,GDP_(Billions_PPP),GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Govt_Spending,Inflation_(%),Investment_Freedom_,Labor_Freedom,Monetary_Freedom,Population_(Millions),Property_Rights,Public_Debt_(%_of_GDP),Region,Region_Rank,Trade_Freedom,Unemployment_(%),World_Rank
72,63.1,3.1,57.7,89,Kuwait,398.6,50,99.9,46,153.5,8.2,41691,61.5,4.7,55,62.8,71.6,3.7,50,7.3,Middle East / North Africa,7,76.8,N/A,66
76,59.5,6.7,50.3,93,Lebanon,3200.0,60,90.8,25,61.4,1.5,15523,74.6,5,60,57.2,76.5,4.0,20,136.2,Middle East / North Africa,10,80.4,N/A,91
100,68.1,5.7,68.1,125,Oman,788.0,60,98.5,48,81.8,5.5,26519,69.1,4,55,80.9,72.7,3.1,50,5.1,Middle East / North Africa,5,78.7,N/A,45
112,60.6,3.5,68.2,142,Saudi Arabia,16400.0,50,99.6,44,682.8,6.8,24237,52.2,5,40,69.2,65.7,28.2,40,7.5,Middle East / North Africa,8,77.3,10.9,82
129,57.0,3.2,82.8,168,Tunisia,1142.9,30,74.5,38,101,-0.8,9478,63.7,3.5,35,70.1,77.8,10.7,40,42.4,Middle East / North Africa,11,58.1,18,107
134,71.1,2.8,74.0,173,United Arab Emirates,7679.0,50,99.9,68,258.8,4.9,48158,85.1,0.9,35,77.6,83.9,5.4,55,16.9,Middle East / North Africa,3,82.6,12.9,28
141,55.9,1.4,61.3,181,Yemen,-712.8,30,91.5,21,58,-10.5,2307,72.8,17.6,50,55.3,65.7,25.1,30,42.5,Middle East / North Africa,12,81.5,N/A,113
22,79.4,1.1,91.7,29,Canada,40931.5,80,79.8,87,1396.1,2.5,40541,44.8,2.9,75,82.3,75.2,34.4,90,85,North America,1,88.2,7.4,6
136,76.0,0.5,90.5,175,United States,226937.0,70,69.3,71,15094,1.7000000000000002,48387,47.8,3.1,70,95.5,75.0,311.9,85,102.9,North America,2,86.4,7.9,10
86,67.0,1.4,81.4,110,Mexico,19554.4,60,81.1,30,1661.6,4,14610,79.4,3.4,70,59.7,77.7,113.7,50,43.8,North America,3,80.6,5.3,50
105,68.2,7.0,72.3,130,Peru,8232.6,60,79.9,34,302,6.9,10062,89.1,3.4,70,67.1,84.3,30.0,40,21.6,South and Central America / Caribbean,7,85.0,7.9,44
96,56.6,2.8,51.2,121,Nicaragua,967.9,50,78.7,25,18.9,4.7,3206,65.1,8.1,60,62.2,73.2,5.9,15,72,South and Central America / Caribbean,21,85.4,8,110
55,58.4,2.9,61.0,70,Honduras,1014.4,60,85.3,26,35.7,3.6,4345,79.2,6.8,65,26.8,73.9,8.2,30,28.1,South and Central America / Caribbean,18,77.1,5.1,96
39,66.7,0.9,61.8,51,El Salvador,385.5,70,85.7,34,44.6,1.4,7550,85.4,3.6,70,62.0,79.6,5.9,40,50.8,South and Central America / Caribbean,10,79.0,7,53
37,46.9,4.2,51.5,49,Ecuador,567.8,40,80.1,27,127.4,7.8,8492,47.3,4.5,20,48.0,66.9,15.0,20,18,South and Central America / Caribbean,26,68.1,4.9,159
128,62.3,0.5,55.1,167,Trinidad and Tobago,574.0,60,84.9,32,26.5,-1.3,20053,60.4,5.1,60,76.7,73.7,1.3,50,32.4,South and Central America / Caribbean,14,69.9,6.4,72
36,59.7,5.9,53.7,48,Dominican Republic,2371.1,40,83.7,26,93.4,4.5,9287,92.6,8.5,65,55.6,72.9,10.1,30,29.3,South and Central America / Caribbean,17,77.8,14.6,87
53,53.8,4.2,66.3,68,Guyana,165.3,30,67.9,25,5.8,4.2,7466,61.1,5.7,35,75.4,75.9,0.8,30,61.8,South and Central America / Caribbean,22,71.2,11,129
27,69.6,4.4,90.2,35,Colombia,13234.2,70,76.1,34,472,5.9,10249,75.2,3.4,70,79.3,78.7,46.1,50,34.7,South and Central America / Caribbean,5,72.2,10.9,37
50,60.0,3.3,50.8,65,Guatemala,984.6,50,79.6,27,74.7,3.8,5070,93.6,6.2,60,48.7,75.5,14.7,30,24.1,South and Central America / Caribbean,16,85.2,4.1,85
139,36.1,2.6,45.6,179,Venezuela,5302.0,20,75.6,19,374.1,4.2,12568,50.6,26.1,5,34.5,47.3,29.8,5,45.5,South and Central America / Caribbean,28,58.8,8.2,174
32,28.5,0.0,10.0,42,Cuba,110.0,10,62.7,42,120.3,2.7,10704,0.0,4.7,0,20.0,67.4,11.2,10,35.4,South and Central America / Caribbean,29,62.7,N/A,176
13,47.9,4.8,55.8,19,Bolivia,858.9,50,88.8,28,50.9,5.1,4789,64.1,9.9,10,30.8,67.4,10.6,10,32.9,South and Central America / Caribbean,25,74.3,5.8,156
137,69.7,6.1,73.4,176,Uruguay,2191.2,30,84.2,70,50.9,5.7,15113,68.3,8.1,75,70.7,72.5,3.4,70,54.2,South and Central America / Caribbean,4,82.9,6,36
3,46.7,6.8,60.1,5,Argentina,7243.1,30,64.3,30,716.4,8.9,17516,52.1,9.8,40,47.4,60.4,40.9,15,44.2,South and Central America / Caribbean,27,67.6,7.2,160
54,48.1,1.4,33.4,69,Haiti,181.0,30,80.7,18,12.4,5.6,1235,66.3,7.4,30,63.6,74.2,10.0,10,10.6,South and Central America / Caribbean,24,74.8,40.6,152
29,67.0,3.7,58.3,39,Costa Rica,2104.1,50,82.9,48,55,4.2,11927,90.1,4.9,70,60.4,75.4,4.6,50,30.8,South and Central America / Caribbean,8,85.1,7.7,49
102,62.5,8.8,72.5,127,Panama,2789.8,70,86.2,33,50.6,10.6,14097,77.8,5.9,65,40.1,75.9,3.6,30,37.8,South and Central America / Caribbean,13,74.8,4.5,71
